semester,skema,title,link,ID,duration
E19/F20,Skema B,Uge 9: Lineære 1.ordens differentialligninger part 1,https://video.dtu.dk/media/Uge+9A+Line%C3%A6re+1.ordens+differentialligninger+part+1/0_727p8wnc/241155,0_727p8wnc,2943.5333333333333
E19/F20,Skema B,Uge 8 Lilledag Lineære afbildninger,https://video.dtu.dk/media/Uge+8+Lilledag+Line%C3%A6re+afbildninger/0_0uqxuse2/241155,0_0uqxuse2,2749.999333333333
E19/F20,Skema B,"Uge 8, Store Dag: Lineære afbildninger part 2",https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Line%C3%A6re+afbildninger+part+2/0_nfjwh6hb/241155,0_nfjwh6hb,3207.266666666667
E19/F20,Skema B,"Uge 8, Store Dag: Lineære afbildninger part 1",https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Line%C3%A6re+afbildninger+part+1/0_aatmebhb/241155,0_aatmebhb,2846.4333333333334
E19/F20,Skema B,"Mat 1-Uge 7, Hold B, Storedag del 2",https://video.dtu.dk/media/Mat+1-Uge+7%2C+Hold+B%2C+Storedag+del+2/0_sqybf4cz/241155,0_sqybf4cz,3389.999333333333
E19/F20,Skema B,"Mat 1-Uge 7, Hold B Storedag del 1",https://video.dtu.dk/media/Mat+1-Uge+7%2C+Hold+B+Storedag+del+1/0_ruyffj97/241155,0_ruyffj97,2919.999333333333
E19/F20,Skema B,Determinanter og Vektorer Uge 6 Hold B Lilledag,https://video.dtu.dk/media/Determinanter+og+Vektorer+Uge+6+Hold+B+Lilledag/0_xk05pt6b/241155,0_xk05pt6b,3441.999333333333
E19/F20,Skema B,"Uge 6, Store dag: Determinanter og vektor-geometri part 2",https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+part+2/0_0gplim7p/241155,0_0gplim7p,2992.2
E19/F20,Skema B,"Uge 6, Store dag: Determinanter og vektor-geometri part 1",https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+part+1/0_hq09rgjk/241155,0_hq09rgjk,2969.133333333333
E19/F20,Skema B,"Uge 5, Lille Dag: Matrixalgebra",https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_lpsk31io/241155,0_lpsk31io,3316.5333333333333
E19/F20,Skema B,"Uge 4, Store Dag: Taylors formler part 1",https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+1/0_n6dgspz4/241155,0_n6dgspz4,3071.4
